;M;F;?;Year;LAT;VERN;
20363;1;;;13-1400-t;1;;Da, deus eterne, scriptori premia vite
20364;;;1;;1;;
20365;;;1;;1;;
20366;;;1;;1;;
20367;;;1;;;1;
20368;;;1;;1;;
20369;;;1;;1;;
20370;;;1;;;1;
20371;;;1;;1;;
20372;;;1;;;1;
20373;1;;;1400-t;;1;Biddet vor den scriver post mortem
20374;;;1;;;1;
20375;;;1;;;1;
20376;;;1;;;1;
20377;;;1;;;1;
20378;;;1;;;1;
20379;;;1;;;1;
20380;;;1;;;1;
20381;;;1;;;1;
20382;;;1;;;1;
20383;;;1;;;1;
20384;;;1;;;1;
20385;;;1;;;1;
20386;;;1;;;1;
20387;;;1;;;1;
20388;;;1;;;1;
20389;;;1;;;1;
20390;;;1;;1;;
20391;;;1;;1;;
20392;;;1;;1;;
20393;;;1;;1;;
20394;;;1;;1;;
20395;;;1;;1;;
20396;;;1;;1;;
20397;;;1;;1;;
20398;;;1;;1;;
20399;;;1;;1;;
20400;;;1;;1;;
20401;;;1;;1;;
20402;;;1;;1;;
20403;;;1;;1;;
20404;;;1;;1;;
20405;;;1;;1;;
20406;;;1;;1;;
20407;;;1;;1;;
20408;1;;;1400-t;1;;scriptori scribenti
20409;;;1;;1;;
20410;;;1;;1;;
20411;;;1;;1;;
20412;1;;;1400-t;1;;Iam scriptor siste
20413;;;1;;1;;
20414;;;1;;1;;
20415;;;1;;;1;
20416;;;1;;1;;
20417;;;1;;1;;
20418;;;1;;1;;
20419;;;1;;1;;
20420;;;1;;1;;
20421;;;1;;1;;
20422;1;;;1454;1;;Cedant perpetue scriptori gaudia vite
20423;;;1;;1;;
20424;;;1;;1;;
20425;;;1;;1;;
20426;;;1;;1;;
20427;;;1;;1;;
20428;1;;;;1;;Dentur pro pena scriptori celica regna
20429;1;;;1100-t;1;;Dentur pro pena scriptori celica regna
20430;1;;;1400-t;1;;Dentur pro penis scriptori gaudia celi
20431;1;;;1400-t;1;;Dentur pro penna scriptori celi(ca) regna
20432;1;;;1360;1;;Dentur pro penna scriptori celica regna
